symbol,time,open,high,low,close
NIFTY 50,91559,24641.35,24665.35,24639.25,24643.7
NIFTY 50,91659,24643.7,24647.1,24634.35,24645.9
NIFTY 50,91759,24645.6,24648.3,24640.0,24647.75
NIFTY 50,91859,24649.45,24664.65,24649.45,24654.85
NIFTY 50,91959,24654.2,24659.15,24650.15,24652.35
NIFTY 50,92059,24652.1,24657.35,24645.45,24651.35
NIFTY 50,92159,24653.35,24661.75,24650.6,24658.0
NIFTY 50,92259,24657.2,24666.25,24656.2,24659.75
NIFTY 50,92359,24662.05,24670.85,24659.3,24670.85
NIFTY 50,92459,24669.6,24671.4,24662.55,24662.55
NIFTY 50,92559,24662.45,24662.65,24651.1,24657.15
NIFTY 50,92659,24656.55,24660.5,24648.7,24658.65
NIFTY 50,92759,24658.15,24660.65,24645.95,24649.6
NIFTY 50,92859,24649.5,24660.95,24648.85,24655.25
NIFTY 50,92959,24655.55,24661.5,24648.85,24651.3
NIFTY 50,93059,24650.55,24659.45,24649.65,24650.7
NIFTY 50,93159,24649.95,24655.05,24645.15,24647.55
NIFTY 50,93259,24648.5,24648.5,24639.95,24641.4
NIFTY 50,93359,24640.4,24644.9,24639.3,24641.7
NIFTY 50,93459,24641.65,24648.2,24640.45,24644.35
NIFTY 50,93559,24643.85,24644.2,24629.8,24636.25
NIFTY 50,93659,24636.3,24636.3,24630.5,24631.85
NIFTY 50,93759,24631.7,24632.9,24619.35,24623.7
NIFTY 50,93859,24624.4,24624.95,24619.25,24622.8
NIFTY 50,93959,24623.0,24628.0,24618.4,24622.15
NIFTY 50,94059,24622.85,24622.85,24616.15,24620.45
NIFTY 50,94159,24621.0,24625.2,24618.9,24624.9
NIFTY 50,94259,24625.0,24625.2,24620.25,24624.1
NIFTY 50,94359,24622.95,24624.3,24620.8,24622.45
NIFTY 50,94459,24622.25,24622.5,24619.5,24621.05
NIFTY 50,94559,24620.85,24627.45,24618.65,24622.0
NIFTY 50,94659,24622.25,24623.05,24613.75,24613.95
NIFTY 50,94759,24614.45,24615.1,24607.95,24612.6
NIFTY 50,94859,24611.95,24613.45,24605.85,24613.45
NIFTY 50,94959,24613.4,24613.4,24606.95,24609.65
NIFTY 50,95059,24609.75,24610.05,24606.5,24609.8
NIFTY 50,95159,24609.45,24620.4,24607.9,24620.05
NIFTY 50,95259,24620.0,24642.95,24618.65,24642.55
NIFTY 50,95359,24642.4,24643.4,24635.6,24637.35
NIFTY 50,95459,24637.25,24637.25,24623.7,24626.95
NIFTY 50,95559,24627.3,24628.7,24620.1,24620.1
NIFTY 50,95659,24620.75,24621.25,24612.7,24619.7
NIFTY 50,95759,24619.15,24626.05,24618.65,24624.95
NIFTY 50,95859,24624.5,24625.5,24618.45,24618.45
NIFTY 50,95959,24618.4,24621.9,24617.9,24620.1
NIFTY 50,100059,24619.95,24627.2,24619.55,24627.2
NIFTY 50,100159,24626.9,24641.5,24626.9,24631.1
NIFTY 50,100259,24631.9,24632.0,24619.6,24622.8
NIFTY 50,100359,24623.4,24623.4,24593.2,24596.2
NIFTY 50,100459,24595.15,24595.9,24579.7,24595.85
NIFTY 50,100559,24596.45,24598.75,24590.8,24598.75
NIFTY 50,100659,24598.25,24613.8,24595.5,24595.75
NIFTY 50,100759,24597.05,24597.95,24592.4,24596.85
NIFTY 50,100859,24596.8,24603.05,24596.25,24600.15
NIFTY 50,100959,24599.05,24603.25,24598.05,24603.1
NIFTY 50,101059,24602.55,24603.3,24592.9,24594.4
NIFTY 50,101159,24593.35,24599.85,24592.2,24592.2
NIFTY 50,101259,24592.85,24592.85,24585.8,24588.65
NIFTY 50,101359,24587.8,24594.7,24586.9,24593.6
NIFTY 50,101459,24593.2,24606.05,24591.75,24605.4
NIFTY 50,101559,24605.85,24606.25,24594.45,24599.65
NIFTY 50,101659,24598.55,24616.95,24598.55,24615.85
NIFTY 50,101759,24615.55,24620.3,24613.8,24620.3
NIFTY 50,101859,24620.55,24625.95,24619.85,24624.0
NIFTY 50,101959,24622.5,24632.25,24622.45,24631.0
NIFTY 50,102059,24631.1,24634.8,24630.25,24633.6
NIFTY 50,102159,24634.25,24649.45,24632.7,24646.7
NIFTY 50,102259,24646.9,24647.25,24639.75,24641.5
NIFTY 50,102359,24641.3,24641.8,24630.05,24632.5
NIFTY 50,102459,24631.95,24634.8,24631.0,24633.2
NIFTY 50,102559,24631.8,24632.65,24621.85,24623.1
NIFTY 50,102659,24622.6,24623.45,24606.65,24606.65
NIFTY 50,102759,24606.45,24610.2,24605.55,24608.35
NIFTY 50,102859,24608.75,24611.9,24606.75,24606.75
NIFTY 50,102959,24607.1,24607.7,24602.05,24602.5
NIFTY 50,103059,24602.7,24603.75,24598.45,24599.95
NIFTY 50,103159,24600.5,24606.1,24597.35,24606.1
NIFTY 50,103259,24607.0,24610.5,24603.45,24605.25
NIFTY 50,103359,24604.95,24606.7,24602.2,24603.0
NIFTY 50,103459,24602.4,24603.25,24590.45,24591.25
NIFTY 50,103559,24591.0,24591.0,24569.4,24570.4
NIFTY 50,103659,24570.35,24570.85,24544.15,24556.1
NIFTY 50,103759,24555.1,24574.95,24555.1,24573.65
NIFTY 50,103859,24573.05,24573.65,24568.9,24569.7
NIFTY 50,103959,24569.5,24572.3,24568.55,24569.1
NIFTY 50,104059,24569.0,24573.15,24567.8,24570.25
NIFTY 50,104159,24570.0,24572.0,24568.25,24569.75
NIFTY 50,104259,24569.95,24577.2,24569.15,24574.8
NIFTY 50,104359,24574.85,24574.85,24564.35,24567.5
NIFTY 50,104459,24567.55,24568.65,24563.3,24564.6
NIFTY 50,104559,24564.05,24565.0,24555.15,24555.25
NIFTY 50,104659,24555.35,24565.05,24554.95,24563.05
NIFTY 50,104759,24562.85,24564.5,24561.55,24564.5
NIFTY 50,104859,24563.75,24571.8,24563.25,24570.2
NIFTY 50,104959,24570.85,24571.8,24562.85,24564.35
NIFTY 50,105059,24564.85,24565.7,24560.2,24561.6
NIFTY 50,105159,24561.9,24562.55,24557.35,24561.15
NIFTY 50,105259,24561.3,24566.6,24560.7,24566.6
NIFTY 50,105359,24566.55,24569.4,24564.7,24566.6
NIFTY 50,105459,24566.85,24567.2,24557.1,24563.65
NIFTY 50,105559,24563.5,24563.5,24556.1,24557.0
NIFTY 50,105659,24556.95,24556.95,24552.0,24554.4
NIFTY 50,105759,24554.8,24558.5,24552.8,24553.5
NIFTY 50,105859,24553.8,24557.6,24548.65,24555.65
NIFTY 50,105959,24555.9,24558.4,24552.85,24556.45
NIFTY 50,110059,24556.7,24563.0,24551.25,24563.0
NIFTY 50,110159,24561.4,24561.95,24553.1,24554.0
NIFTY 50,110259,24554.35,24559.95,24552.7,24559.95
NIFTY 50,110359,24559.7,24560.05,24556.25,24556.85
NIFTY 50,110459,24557.0,24562.05,24556.55,24561.0
NIFTY 50,110559,24561.0,24562.3,24558.25,24559.05
NIFTY 50,110659,24558.9,24560.5,24553.0,24554.05
NIFTY 50,110759,24554.55,24555.5,24553.4,24554.45
NIFTY 50,110859,24554.4,24557.6,24553.8,24555.6
NIFTY 50,110959,24554.8,24554.8,24549.65,24550.0
NIFTY 50,111059,24549.45,24551.8,24548.2,24550.85
NIFTY 50,111159,24551.1,24553.8,24550.45,24552.65
NIFTY 50,111259,24551.3,24558.9,24550.0,24557.1
NIFTY 50,111359,24557.45,24558.4,24553.35,24555.65
NIFTY 50,111459,24555.85,24561.95,24555.75,24561.1
NIFTY 50,111559,24561.55,24561.9,24558.95,24560.6
NIFTY 50,111659,24560.3,24560.3,24554.85,24555.05
NIFTY 50,111759,24554.9,24560.9,24554.75,24556.0
NIFTY 50,111859,24556.05,24557.85,24554.5,24555.55
NIFTY 50,111959,24555.75,24555.75,24551.0,24551.25
NIFTY 50,112059,24551.55,24555.4,24550.3,24553.4
NIFTY 50,112159,24552.85,24560.95,24551.6,24560.4
NIFTY 50,112259,24560.6,24560.7,24555.4,24558.1
NIFTY 50,112359,24558.05,24559.35,24555.85,24556.75
NIFTY 50,112459,24556.55,24557.35,24553.7,24555.5
NIFTY 50,112559,24555.9,24559.7,24554.85,24555.85
NIFTY 50,112659,24555.6,24556.15,24553.0,24555.35
NIFTY 50,112759,24555.45,24566.9,24554.55,24565.8
NIFTY 50,112859,24566.3,24568.35,24564.5,24567.25
NIFTY 50,112959,24567.05,24570.6,24565.65,24569.4
NIFTY 50,113059,24568.75,24572.75,24564.5,24566.0
NIFTY 50,113159,24566.4,24567.2,24559.55,24559.95
NIFTY 50,113259,24559.2,24559.45,24554.9,24558.1
NIFTY 50,113359,24557.9,24559.1,24556.7,24556.95
NIFTY 50,113459,24557.4,24558.5,24556.35,24557.25
NIFTY 50,113559,24557.1,24558.85,24553.55,24553.65
NIFTY 50,113659,24554.05,24557.45,24553.55,24556.6
NIFTY 50,113759,24556.6,24562.0,24554.85,24561.1
NIFTY 50,113859,24560.8,24578.45,24560.8,24571.55
NIFTY 50,113959,24572.2,24572.9,24560.4,24561.4
NIFTY 50,114059,24561.5,24566.65,24561.35,24566.2
NIFTY 50,114159,24565.9,24565.9,24561.1,24562.75
NIFTY 50,114259,24561.95,24563.55,24557.05,24558.6
NIFTY 50,114359,24558.35,24560.7,24556.05,24557.1
NIFTY 50,114459,24557.4,24566.65,24554.8,24566.4
NIFTY 50,114559,24566.0,24566.65,24560.65,24563.45
NIFTY 50,114659,24562.25,24566.5,24560.25,24566.5
NIFTY 50,114759,24566.95,24571.85,24564.05,24571.85
NIFTY 50,114859,24572.35,24581.1,24570.2,24577.95
NIFTY 50,114959,24577.25,24580.5,24575.55,24580.2
NIFTY 50,115059,24580.65,24582.9,24579.3,24582.9
NIFTY 50,115159,24582.75,24590.6,24582.7,24585.4
NIFTY 50,115259,24585.95,24585.95,24580.35,24582.45
NIFTY 50,115359,24582.3,24582.5,24579.15,24580.6
NIFTY 50,115459,24580.4,24588.4,24580.4,24588.0
NIFTY 50,115559,24587.2,24589.9,24585.85,24588.95
NIFTY 50,115659,24589.0,24589.85,24584.65,24589.4
NIFTY 50,115759,24588.15,24588.75,24582.35,24585.0
NIFTY 50,115859,24583.7,24583.7,24558.3,24562.9
NIFTY 50,115959,24562.55,24583.3,24562.55,24580.35
NIFTY 50,120059,24580.25,24581.25,24577.3,24579.1
NIFTY 50,120159,24579.1,24584.2,24577.4,24584.2
NIFTY 50,120259,24583.85,24596.0,24582.7,24596.0
NIFTY 50,120359,24595.35,24599.65,24594.6,24598.95
NIFTY 50,120459,24599.2,24600.1,24593.2,24594.35
NIFTY 50,120559,24594.2,24598.1,24591.1,24592.35
NIFTY 50,120659,24591.45,24595.0,24590.3,24594.2
NIFTY 50,120759,24593.75,24599.35,24593.2,24599.25
NIFTY 50,120859,24599.05,24599.05,24588.15,24589.1
NIFTY 50,120959,24588.55,24594.45,24587.45,24593.2
NIFTY 50,121059,24593.05,24593.65,24588.85,24590.1
NIFTY 50,121159,24589.45,24591.55,24584.8,24588.7
NIFTY 50,121259,24588.45,24589.15,24585.85,24587.6
NIFTY 50,121359,24587.6,24592.65,24587.45,24589.5
NIFTY 50,121459,24589.35,24590.3,24585.8,24587.95
NIFTY 50,121559,24587.9,24589.15,24586.2,24587.6
NIFTY 50,121659,24586.85,24595.05,24586.6,24594.35
NIFTY 50,121759,24594.25,24597.25,24591.2,24597.25
NIFTY 50,121859,24596.9,24603.05,24596.45,24602.75
NIFTY 50,121959,24602.8,24607.9,24601.55,24607.25
NIFTY 50,122059,24606.7,24611.7,24606.3,24611.25
NIFTY 50,122159,24611.2,24633.6,24610.45,24624.75
NIFTY 50,122259,24624.85,24624.85,24615.05,24617.0
NIFTY 50,122359,24616.9,24619.35,24614.0,24615.05
NIFTY 50,122459,24614.7,24615.6,24610.0,24612.7
NIFTY 50,122559,24612.15,24614.55,24612.15,24612.45
NIFTY 50,122659,24612.4,24615.1,24606.1,24612.55
NIFTY 50,122759,24612.45,24617.6,24609.9,24610.4
NIFTY 50,122859,24609.9,24613.3,24608.35,24610.2
NIFTY 50,122959,24609.85,24616.5,24608.9,24616.5
NIFTY 50,123059,24615.6,24618.6,24613.75,24615.9
NIFTY 50,123159,24615.45,24616.35,24612.9,24616.35
NIFTY 50,123259,24615.95,24618.45,24614.95,24617.3
NIFTY 50,123359,24617.6,24621.7,24616.85,24621.25
NIFTY 50,123459,24621.35,24623.3,24619.55,24620.2
NIFTY 50,123559,24620.35,24622.3,24619.5,24619.5
NIFTY 50,123659,24619.25,24619.25,24612.6,24613.3
NIFTY 50,123759,24612.9,24612.9,24607.1,24608.7
