symbol,time,open,high,low,close
NIFTY 50,91559,24720.25,24733.1,24678.9,24714.6
NIFTY 50,91659,24712.1,24712.5,24689.1,24696.2
NIFTY 50,91759,24695.1,24710.2,24689.65,24706.3
NIFTY 50,91859,24705.5,24706.95,24695.7,24700.95
NIFTY 50,91959,24700.55,24706.9,24674.25,24690.6
NIFTY 50,92059,24684.75,24702.9,24681.85,24693.55
NIFTY 50,92159,24690.7,24692.35,24680.2,24686.75
NIFTY 50,92259,24686.5,24690.4,24677.15,24688.35
NIFTY 50,92359,24689.15,24697.95,24687.95,24696.9
NIFTY 50,92459,24696.15,24696.15,24679.95,24680.05
NIFTY 50,92559,24679.95,24685.0,24671.95,24677.9
NIFTY 50,92659,24678.15,24682.65,24672.3,24675.95
NIFTY 50,92759,24675.3,24676.85,24669.55,24675.35
NIFTY 50,92859,24674.85,24675.9,24664.2,24675.05
NIFTY 50,92959,24675.15,24675.55,24670.15,24673.0
NIFTY 50,93059,24672.75,24684.05,24670.35,24675.6
NIFTY 50,93159,24675.45,24676.15,24660.95,24667.45
NIFTY 50,93259,24667.05,24668.3,24661.65,24664.9
NIFTY 50,93359,24665.25,24667.4,24658.7,24666.85
NIFTY 50,93459,24667.2,24676.2,24664.5,24675.25
NIFTY 50,93559,24674.8,24675.6,24669.75,24674.15
NIFTY 50,93659,24675.3,24675.65,24654.75,24656.65
NIFTY 50,93759,24655.55,24655.55,24641.25,24647.65
NIFTY 50,93859,24647.3,24647.3,24635.6,24638.85
NIFTY 50,93959,24638.65,24638.65,24631.45,24633.45
NIFTY 50,94059,24631.95,24633.5,24628.25,24631.1
NIFTY 50,94159,24631.7,24640.2,24629.3,24632.75
NIFTY 50,94259,24632.6,24639.7,24631.8,24638.6
NIFTY 50,94359,24638.95,24647.5,24635.1,24639.1
NIFTY 50,94459,24639.1,24639.1,24629.75,24631.9
NIFTY 50,94559,24631.8,24632.75,24621.6,24622.7
NIFTY 50,94659,24623.0,24628.25,24620.25,24626.55
NIFTY 50,94759,24627.35,24628.15,24619.5,24619.5
NIFTY 50,94859,24618.7,24618.7,24610.35,24616.0
NIFTY 50,94959,24616.2,24618.5,24613.95,24615.4
NIFTY 50,95059,24615.7,24615.7,24608.8,24614.25
NIFTY 50,95159,24612.8,24621.2,24612.45,24620.7
NIFTY 50,95259,24620.3,24621.15,24612.35,24615.1
NIFTY 50,95359,24616.3,24617.75,24611.45,24617.75
NIFTY 50,95459,24616.4,24623.15,24610.15,24614.55
NIFTY 50,95559,24614.6,24617.8,24612.25,24613.25
NIFTY 50,95659,24613.15,24623.1,24613.15,24620.9
NIFTY 50,95759,24620.05,24622.6,24618.25,24622.3
NIFTY 50,95859,24622.15,24622.15,24603.4,24603.4
NIFTY 50,95959,24603.95,24608.15,24599.35,24605.1
NIFTY 50,100059,24606.05,24607.45,24596.85,24596.85
NIFTY 50,100159,24596.35,24603.3,24593.15,24599.35
NIFTY 50,100259,24598.4,24611.55,24595.1,24611.5
NIFTY 50,100359,24611.75,24616.2,24611.45,24615.1
NIFTY 50,100459,24616.55,24617.1,24611.2,24614.5
NIFTY 50,100559,24613.8,24614.55,24610.6,24612.7
NIFTY 50,100659,24613.05,24618.9,24609.5,24618.5
NIFTY 50,100759,24618.4,24622.55,24613.95,24619.75
NIFTY 50,100859,24619.85,24623.05,24619.2,24621.9
NIFTY 50,100959,24621.65,24634.55,24619.5,24633.65
NIFTY 50,101059,24633.85,24634.3,24620.95,24622.65
NIFTY 50,101159,24623.55,24623.55,24616.15,24621.9
NIFTY 50,101259,24621.9,24628.05,24621.9,24624.5
NIFTY 50,101359,24624.35,24624.75,24611.0,24611.8
NIFTY 50,101459,24611.75,24618.75,24608.25,24618.75
NIFTY 50,101559,24618.5,24618.5,24611.1,24617.3
NIFTY 50,101659,24617.15,24622.7,24615.15,24619.0
NIFTY 50,101759,24619.05,24624.9,24617.45,24623.85
NIFTY 50,101859,24623.9,24628.7,24622.5,24627.95
NIFTY 50,101959,24628.05,24638.25,24627.05,24634.8
NIFTY 50,102059,24634.15,24634.45,24627.6,24631.0
NIFTY 50,102159,24631.55,24632.6,24628.7,24631.3
NIFTY 50,102259,24631.7,24637.55,24629.6,24637.55
NIFTY 50,102359,24637.15,24640.3,24636.9,24639.1
NIFTY 50,102459,24638.95,24644.6,24638.5,24642.6
NIFTY 50,102559,24642.45,24644.7,24629.85,24634.45
NIFTY 50,102659,24633.9,24636.75,24631.45,24636.75
NIFTY 50,102759,24636.2,24637.1,24626.25,24626.25
NIFTY 50,102859,24626.5,24632.8,24621.0,24628.6
NIFTY 50,102959,24628.15,24631.0,24624.1,24625.8
NIFTY 50,103059,24625.8,24626.65,24615.55,24615.95
NIFTY 50,103159,24615.2,24615.2,24605.35,24607.6
NIFTY 50,103259,24608.15,24610.05,24604.8,24606.9
NIFTY 50,103359,24607.7,24609.95,24606.35,24609.05
NIFTY 50,103459,24608.85,24613.55,24607.95,24613.4
NIFTY 50,103559,24613.25,24618.8,24609.95,24618.7
NIFTY 50,103659,24619.75,24620.9,24614.75,24616.65
NIFTY 50,103759,24617.3,24617.3,24610.2,24613.35
NIFTY 50,103859,24613.35,24629.15,24613.0,24624.5
NIFTY 50,103959,24626.35,24633.4,24625.55,24630.45
NIFTY 50,104059,24629.9,24633.0,24620.55,24620.75
NIFTY 50,104159,24623.6,24623.95,24619.3,24622.5
NIFTY 50,104259,24621.65,24621.65,24596.85,24604.2
NIFTY 50,104359,24607.1,24611.45,24604.6,24609.75
NIFTY 50,104459,24609.9,24618.05,24609.9,24615.85
NIFTY 50,104559,24616.35,24616.75,24608.65,24612.8
NIFTY 50,104659,24613.9,24615.75,24613.4,24613.95
NIFTY 50,104759,24614.5,24614.5,24605.05,24608.15
NIFTY 50,104859,24609.6,24612.2,24608.0,24611.25
NIFTY 50,104959,24611.75,24612.95,24607.0,24611.0
NIFTY 50,105059,24612.25,24620.85,24610.35,24619.1
NIFTY 50,105159,24618.7,24622.15,24617.1,24620.6
NIFTY 50,105259,24620.8,24626.4,24619.65,24624.75
NIFTY 50,105359,24625.9,24627.4,24622.2,24623.8
NIFTY 50,105459,24624.3,24629.35,24623.75,24626.9
NIFTY 50,105559,24627.2,24627.25,24621.45,24623.35
NIFTY 50,105659,24624.35,24624.4,24617.4,24619.95
NIFTY 50,105759,24621.35,24622.6,24618.95,24620.9
NIFTY 50,105859,24620.4,24622.15,24616.75,24617.55
NIFTY 50,105959,24618.35,24621.25,24616.45,24620.2
NIFTY 50,110059,24620.5,24622.5,24617.55,24619.15
NIFTY 50,110159,24619.4,24623.15,24618.3,24620.75
NIFTY 50,110259,24619.65,24624.3,24615.25,24624.3
NIFTY 50,110359,24624.3,24626.75,24623.95,24625.0
NIFTY 50,110459,24625.4,24625.4,24621.55,24624.05
NIFTY 50,110559,24624.0,24624.6,24621.35,24624.15
NIFTY 50,110659,24624.25,24624.25,24617.55,24620.25
NIFTY 50,110759,24620.1,24622.1,24615.8,24618.1
NIFTY 50,110859,24618.2,24618.2,24612.55,24613.15
NIFTY 50,110959,24612.0,24614.85,24606.15,24607.45
NIFTY 50,111059,24607.35,24612.1,24604.15,24611.2
NIFTY 50,111159,24613.1,24616.05,24612.4,24616.05
NIFTY 50,111259,24615.8,24623.7,24615.1,24623.3
NIFTY 50,111359,24623.15,24630.2,24621.35,24629.45
NIFTY 50,111459,24630.5,24635.0,24629.0,24635.0
NIFTY 50,111559,24633.9,24635.05,24627.85,24628.55
NIFTY 50,111659,24628.7,24635.35,24625.75,24635.35
NIFTY 50,111759,24634.95,24634.95,24630.2,24632.8
NIFTY 50,111859,24632.6,24636.8,24631.85,24636.3
NIFTY 50,111959,24636.2,24642.15,24634.3,24640.55
NIFTY 50,112059,24640.5,24641.65,24634.4,24636.7
NIFTY 50,112159,24637.15,24641.55,24635.45,24636.8
NIFTY 50,112259,24636.55,24637.45,24631.75,24634.55
NIFTY 50,112359,24634.35,24642.6,24634.35,24641.9
NIFTY 50,112459,24642.1,24645.15,24639.7,24645.15
NIFTY 50,112559,24644.0,24646.6,24643.65,24644.05
NIFTY 50,112659,24643.45,24644.25,24637.45,24639.9
NIFTY 50,112759,24639.6,24643.25,24638.2,24642.65
NIFTY 50,112859,24642.65,24644.55,24641.25,24643.75
NIFTY 50,112959,24644.95,24644.95,24637.1,24637.1
NIFTY 50,113059,24637.35,24638.3,24629.1,24629.1
NIFTY 50,113159,24629.05,24629.3,24618.25,24621.2
NIFTY 50,113259,24621.3,24628.35,24621.3,24624.2
NIFTY 50,113359,24625.7,24625.7,24621.0,24621.0
NIFTY 50,113459,24622.05,24622.15,24618.65,24619.35
NIFTY 50,113559,24619.5,24626.0,24619.4,24624.65
NIFTY 50,113659,24625.0,24628.7,24623.5,24627.1
NIFTY 50,113759,24626.8,24632.25,24623.25,24632.25
NIFTY 50,113859,24631.5,24634.2,24629.6,24631.45
NIFTY 50,113959,24630.65,24630.95,24628.1,24629.15
NIFTY 50,114059,24629.2,24631.2,24627.55,24629.45
NIFTY 50,114159,24630.6,24636.1,24629.55,24634.35
NIFTY 50,114259,24634.7,24635.4,24630.8,24633.0
NIFTY 50,114359,24633.85,24633.85,24624.15,24628.95
NIFTY 50,114459,24629.5,24634.0,24628.55,24632.9
NIFTY 50,114559,24633.85,24634.25,24629.7,24629.75
NIFTY 50,114659,24629.65,24632.65,24625.1,24631.55
NIFTY 50,114759,24633.25,24634.35,24630.65,24634.05
NIFTY 50,114859,24633.6,24634.5,24631.8,24633.45
NIFTY 50,114959,24635.0,24635.0,24631.3,24632.35
NIFTY 50,115059,24632.85,24634.6,24631.2,24634.25
NIFTY 50,115159,24634.55,24634.55,24627.5,24630.55
NIFTY 50,115259,24630.85,24636.1,24630.85,24633.5
NIFTY 50,115359,24634.05,24634.05,24625.95,24625.95
NIFTY 50,115459,24626.65,24631.25,24625.6,24628.5
NIFTY 50,115559,24628.45,24629.2,24620.3,24622.85
NIFTY 50,115659,24622.75,24625.15,24621.5,24624.1
NIFTY 50,115759,24624.75,24624.75,24615.7,24619.6
NIFTY 50,115859,24619.15,24621.9,24618.1,24620.6
NIFTY 50,115959,24621.4,24627.05,24620.65,24624.7
NIFTY 50,120059,24625.35,24626.5,24619.3,24619.8
NIFTY 50,120159,24620.75,24623.05,24619.95,24621.25
