symbol,time,open,high,low,close
NIFTY 50,91559,24070.25,24124.4,24054.05,24112.9
NIFTY 50,91659,24115.75,24130.1,24099.9,24130.1
NIFTY 50,91759,24125.05,24147.5,24114.65,24147.5
NIFTY 50,91859,24150.0,24152.2,24128.3,24131.35
NIFTY 50,91959,24126.7,24133.1,24120.05,24131.55
NIFTY 50,92059,24130.15,24138.15,24100.5,24100.5
NIFTY 50,92159,24101.6,24110.05,24082.1,24099.6
NIFTY 50,92259,24099.4,24127.95,24099.15,24123.65
NIFTY 50,92359,24123.45,24130.5,24088.5,24088.5
NIFTY 50,92459,24088.75,24095.0,24084.55,24090.7
NIFTY 50,92559,24089.5,24108.5,24088.5,24092.15
NIFTY 50,92659,24090.95,24101.35,24082.75,24098.5
NIFTY 50,92759,24101.35,24133.25,24101.35,24130.65
NIFTY 50,92859,24132.5,24136.2,24123.95,24130.85
NIFTY 50,92959,24131.25,24132.05,24108.7,24117.95
NIFTY 50,93059,24117.05,24134.0,24108.65,24132.65
NIFTY 50,93159,24132.55,24139.35,24124.1,24139.2
NIFTY 50,93259,24139.1,24167.55,24134.5,24161.2
NIFTY 50,93359,24160.2,24163.2,24152.4,24159.25
NIFTY 50,93459,24159.5,24185.85,24157.05,24184.3
NIFTY 50,93559,24184.0,24194.3,24180.65,24180.65
NIFTY 50,93659,24180.45,24215.3,24177.65,24214.1
NIFTY 50,93759,24211.85,24224.7,24207.45,24222.65
NIFTY 50,93859,24222.45,24227.8,24220.6,24221.75
NIFTY 50,93959,24222.3,24222.7,24214.35,24221.65
NIFTY 50,94059,24222.7,24226.2,24202.55,24202.9
NIFTY 50,94159,24202.95,24208.85,24173.45,24173.45
NIFTY 50,94259,24173.65,24197.1,24173.65,24194.6
NIFTY 50,94359,24193.5,24199.3,24190.35,24194.65
NIFTY 50,94459,24195.3,24196.6,24175.5,24176.6
NIFTY 50,94559,24175.75,24192.85,24175.75,24190.25
NIFTY 50,94659,24189.4,24200.75,24189.4,24199.5
NIFTY 50,94759,24199.45,24215.0,24195.95,24214.35
NIFTY 50,94859,24213.7,24216.8,24196.45,24196.45
NIFTY 50,94959,24195.7,24195.7,24179.55,24188.1
NIFTY 50,95059,24186.7,24200.9,24186.7,24188.05
NIFTY 50,95159,24187.2,24195.6,24187.2,24195.55
NIFTY 50,95259,24195.45,24207.9,24193.05,24205.6
NIFTY 50,95359,24205.9,24207.2,24176.3,24176.3
NIFTY 50,95459,24174.3,24199.7,24174.3,24196.8
NIFTY 50,95559,24197.5,24203.5,24193.9,24195.85
NIFTY 50,95659,24195.85,24196.1,24183.0,24185.25
NIFTY 50,95759,24186.05,24218.65,24185.95,24207.35
NIFTY 50,95859,24208.45,24221.1,24206.25,24218.65
NIFTY 50,95959,24218.85,24231.95,24218.85,24229.3
NIFTY 50,100059,24228.6,24234.35,24224.5,24224.5
NIFTY 50,100159,24224.7,24225.95,24217.8,24219.6
NIFTY 50,100259,24219.8,24224.6,24218.75,24224.55
NIFTY 50,100359,24223.85,24235.75,24223.4,24235.1
NIFTY 50,100459,24235.95,24236.15,24228.05,24229.8
NIFTY 50,100559,24229.45,24257.8,24229.45,24256.15
NIFTY 50,100659,24256.75,24257.15,24248.05,24251.95
NIFTY 50,100759,24252.65,24258.05,24250.45,24252.65
NIFTY 50,100859,24252.85,24263.8,24252.15,24261.3
NIFTY 50,100959,24261.35,24266.55,24254.85,24265.25
NIFTY 50,101059,24264.8,24270.6,24262.4,24268.45
NIFTY 50,101159,24268.1,24268.1,24258.85,24262.7
NIFTY 50,101259,24262.6,24262.65,24254.8,24256.4
NIFTY 50,101359,24255.6,24267.35,24252.9,24265.95
NIFTY 50,101459,24265.8,24279.3,24262.3,24275.85
NIFTY 50,101559,24276.0,24282.15,24273.45,24273.45
NIFTY 50,101659,24272.8,24280.8,24270.9,24278.9
NIFTY 50,101759,24278.85,24283.0,24270.5,24271.1
NIFTY 50,101859,24271.25,24271.95,24265.3,24271.4
NIFTY 50,101959,24271.45,24279.1,24269.75,24275.45
NIFTY 50,102059,24275.45,24280.2,24262.25,24262.3
NIFTY 50,102159,24262.1,24276.95,24261.8,24273.25
NIFTY 50,102259,24271.95,24272.4,24266.75,24267.1
NIFTY 50,102359,24266.8,24266.8,24250.95,24251.7
NIFTY 50,102459,24251.65,24253.3,24238.0,24245.55
NIFTY 50,102559,24245.5,24251.9,24242.3,24242.3
NIFTY 50,102659,24242.7,24259.9,24241.3,24259.3
NIFTY 50,102759,24259.3,24263.0,24254.15,24258.55
NIFTY 50,102859,24258.15,24259.55,24244.15,24244.5
NIFTY 50,102959,24244.75,24245.4,24229.35,24236.85
NIFTY 50,103059,24238.05,24250.75,24237.7,24250.1
NIFTY 50,103159,24249.7,24260.1,24247.5,24260.1
NIFTY 50,103259,24260.1,24263.15,24257.1,24257.1
NIFTY 50,103359,24257.15,24257.75,24243.1,24247.45
NIFTY 50,103459,24247.2,24257.1,24246.45,24254.6
NIFTY 50,103559,24254.25,24256.05,24245.8,24245.8
NIFTY 50,103659,24246.2,24254.0,24240.9,24253.85
NIFTY 50,103759,24253.1,24259.4,24246.85,24249.45
