symbol,time,open,high,low,close
NIFTY 50,91559,23344.1,23353.65,23277.0,23292.35
NIFTY 50,91659,23292.6,23301.75,23284.55,23293.75
NIFTY 50,91759,23294.9,23302.8,23290.3,23291.75
NIFTY 50,91859,23289.3,23291.2,23277.9,23282.85
NIFTY 50,91959,23284.25,23291.75,23282.45,23284.85
NIFTY 50,92059,23285.3,23298.05,23284.05,23291.65
NIFTY 50,92159,23292.25,23302.55,23290.1,23299.2
NIFTY 50,92259,23298.65,23305.4,23295.0,23300.35
NIFTY 50,92359,23299.95,23309.45,23296.75,23307.9
NIFTY 50,92459,23307.6,23311.85,23306.75,23307.05
NIFTY 50,92559,23308.05,23310.4,23301.4,23308.7
NIFTY 50,92659,23309.6,23311.3,23303.5,23306.85
NIFTY 50,92759,23306.35,23319.6,23305.75,23317.55
NIFTY 50,92859,23317.8,23339.85,23317.35,23335.85
NIFTY 50,92959,23335.85,23337.15,23328.35,23334.2
NIFTY 50,93059,23333.5,23338.05,23329.95,23331.8
NIFTY 50,93159,23330.8,23334.95,23327.7,23332.4
NIFTY 50,93259,23333.45,23337.25,23330.05,23337.25
NIFTY 50,93359,23336.45,23340.25,23331.7,23337.1
NIFTY 50,93459,23336.95,23338.6,23330.65,23336.55
NIFTY 50,93559,23335.8,23337.25,23332.05,23333.8
NIFTY 50,93659,23334.1,23337.45,23326.65,23336.65
NIFTY 50,93759,23337.65,23341.2,23334.45,23340.75
NIFTY 50,93859,23340.25,23356.6,23340.05,23356.6
NIFTY 50,93959,23356.2,23357.5,23345.75,23346.45
NIFTY 50,94059,23344.9,23348.45,23337.25,23340.2
NIFTY 50,94159,23339.5,23342.9,23337.4,23339.7
NIFTY 50,94259,23338.55,23357.2,23338.45,23357.2
NIFTY 50,94359,23356.1,23360.45,23353.3,23356.8
NIFTY 50,94459,23354.65,23358.0,23353.05,23357.7
NIFTY 50,94559,23357.2,23364.9,23355.55,23361.35
NIFTY 50,94659,23359.6,23361.7,23356.5,23359.25
NIFTY 50,94759,23358.5,23360.65,23353.4,23354.3
NIFTY 50,94859,23354.3,23356.65,23345.35,23348.35
NIFTY 50,94959,23347.7,23351.55,23343.7,23346.65
NIFTY 50,95059,23345.85,23348.75,23343.3,23347.25
NIFTY 50,95159,23346.35,23354.55,23345.1,23352.75
NIFTY 50,95259,23352.7,23353.35,23347.35,23352.8
NIFTY 50,95359,23352.9,23357.55,23352.15,23355.7
NIFTY 50,95459,23356.8,23361.35,23356.8,23358.75
NIFTY 50,95559,23357.35,23359.05,23351.9,23353.5
NIFTY 50,95659,23352.5,23353.85,23349.1,23353.2
NIFTY 50,95759,23353.0,23368.9,23352.85,23368.9
NIFTY 50,95859,23367.7,23372.75,23363.0,23363.0
NIFTY 50,95959,23363.0,23363.1,23352.65,23357.9
NIFTY 50,100059,23357.5,23361.9,23355.95,23360.35
NIFTY 50,100159,23359.95,23361.55,23352.0,23360.7
NIFTY 50,100259,23360.85,23368.1,23360.8,23365.8
NIFTY 50,100359,23365.8,23368.9,23363.45,23364.8
NIFTY 50,100459,23364.35,23367.8,23362.55,23367.05
NIFTY 50,100559,23366.6,23370.35,23359.95,23362.65
NIFTY 50,100659,23362.25,23367.3,23358.55,23358.55
NIFTY 50,100759,23358.65,23361.4,23355.7,23359.25
NIFTY 50,100859,23358.4,23365.2,23356.0,23356.0
NIFTY 50,100959,23356.65,23362.15,23355.6,23356.6
NIFTY 50,101059,23356.7,23359.7,23349.65,23351.75
NIFTY 50,101159,23350.9,23356.25,23350.9,23355.1
NIFTY 50,101259,23354.85,23359.25,23354.65,23358.3
NIFTY 50,101359,23358.45,23360.8,23353.1,23358.85
NIFTY 50,101459,23359.0,23360.55,23354.05,23355.8
NIFTY 50,101559,23354.7,23358.95,23343.3,23343.3
NIFTY 50,101659,23342.8,23349.7,23342.8,23344.65
NIFTY 50,101759,23344.0,23345.7,23323.2,23323.5
NIFTY 50,101859,23323.8,23328.05,23321.85,23324.75
NIFTY 50,101959,23324.45,23324.5,23308.75,23313.05
NIFTY 50,102059,23311.8,23315.75,23309.55,23312.5
NIFTY 50,102159,23311.85,23313.35,23300.25,23300.25
NIFTY 50,102259,23299.35,23304.8,23297.45,23299.75
NIFTY 50,102359,23298.9,23300.4,23291.8,23295.05
NIFTY 50,102459,23294.8,23297.4,23290.95,23291.05
NIFTY 50,102559,23289.9,23295.4,23289.05,23294.1
NIFTY 50,102659,23293.1,23303.55,23293.1,23302.8
NIFTY 50,102759,23301.95,23310.8,23301.95,23306.75
NIFTY 50,102859,23307.05,23311.1,23304.4,23307.9
NIFTY 50,102959,23306.35,23310.35,23302.15,23302.8
NIFTY 50,103059,23303.05,23306.0,23298.75,23300.4
NIFTY 50,103159,23298.9,23300.9,23288.95,23291.95
NIFTY 50,103259,23290.65,23311.8,23290.65,23311.6
NIFTY 50,103359,23310.35,23313.75,23301.95,23306.4
NIFTY 50,103459,23304.75,23307.15,23280.75,23286.1
NIFTY 50,103559,23286.15,23297.55,23286.15,23295.85
NIFTY 50,103659,23295.35,23297.45,23292.75,23295.8
NIFTY 50,103759,23296.9,23297.5,23289.8,23292.2
NIFTY 50,103859,23292.9,23293.7,23286.3,23290.0
NIFTY 50,103959,23290.2,23295.8,23286.7,23295.1
NIFTY 50,104059,23295.9,23299.5,23291.65,23298.6
NIFTY 50,104159,23298.95,23300.9,23290.9,23300.55
NIFTY 50,104259,23300.3,23302.5,23296.75,23301.05
NIFTY 50,104359,23301.65,23303.0,23295.75,23299.7
NIFTY 50,104459,23300.05,23306.55,23296.8,23300.2
NIFTY 50,104559,23300.25,23308.25,23297.8,23308.05
NIFTY 50,104659,23309.15,23312.3,23305.3,23312.3
NIFTY 50,104759,23312.45,23312.45,23301.8,23308.1
NIFTY 50,104859,23308.3,23312.8,23305.05,23310.25
NIFTY 50,104959,23310.4,23310.85,23305.75,23307.45
NIFTY 50,105059,23307.55,23310.2,23304.95,23307.25
NIFTY 50,105159,23307.35,23314.6,23306.3,23310.35
NIFTY 50,105259,23309.8,23313.75,23307.8,23310.6
NIFTY 50,105359,23310.3,23310.3,23297.9,23297.9
NIFTY 50,105459,23298.85,23300.4,23293.7,23299.1
NIFTY 50,105559,23299.5,23305.0,23291.8,23303.9
NIFTY 50,105659,23304.9,23308.5,23297.8,23298.7
NIFTY 50,105759,23297.9,23301.35,23296.9,23299.25
NIFTY 50,105859,23300.2,23303.1,23286.25,23288.9
NIFTY 50,105959,23289.2,23293.2,23280.95,23287.65
NIFTY 50,110059,23286.2,23291.05,23274.8,23274.8
NIFTY 50,110159,23277.0,23284.5,23273.45,23281.5
NIFTY 50,110259,23278.55,23283.8,23276.35,23281.15
NIFTY 50,110359,23280.2,23280.8,23273.05,23280.2
NIFTY 50,110459,23280.05,23285.95,23277.4,23284.5
NIFTY 50,110559,23283.85,23285.65,23279.8,23281.0
NIFTY 50,110659,23280.2,23286.3,23276.9,23286.05
NIFTY 50,110759,23286.1,23292.85,23285.55,23292.35
NIFTY 50,110859,23291.55,23306.1,23290.5,23306.1
NIFTY 50,110959,23304.65,23314.85,23302.35,23307.65
NIFTY 50,111059,23307.9,23313.25,23306.3,23309.5
NIFTY 50,111159,23310.1,23313.65,23307.2,23313.65
NIFTY 50,111259,23312.05,23315.45,23311.1,23313.9
NIFTY 50,111359,23314.35,23316.4,23312.05,23312.7
NIFTY 50,111459,23313.5,23319.3,23312.4,23318.85
NIFTY 50,111559,23319.4,23325.75,23316.15,23323.4
NIFTY 50,111659,23323.65,23327.25,23320.45,23326.15
NIFTY 50,111759,23326.6,23327.7,23321.05,23326.8
NIFTY 50,111859,23325.8,23328.9,23322.65,23328.9
NIFTY 50,111959,23328.45,23335.4,23326.95,23335.05
NIFTY 50,112059,23334.35,23335.2,23331.75,23333.6
NIFTY 50,112159,23332.95,23334.2,23328.75,23329.8
NIFTY 50,112259,23328.95,23331.65,23326.55,23331.25
NIFTY 50,112359,23331.4,23334.7,23328.85,23333.45
NIFTY 50,112459,23332.85,23334.75,23330.65,23333.8
NIFTY 50,112559,23333.8,23335.65,23330.5,23331.05
NIFTY 50,112659,23332.0,23333.75,23330.45,23331.0
NIFTY 50,112759,23330.45,23334.95,23329.55,23333.45
NIFTY 50,112859,23333.0,23336.35,23331.15,23335.0
NIFTY 50,112959,23334.9,23334.9,23320.9,23323.55
NIFTY 50,113059,23322.7,23328.6,23322.15,23327.0
NIFTY 50,113159,23326.75,23330.25,23326.2,23328.65
NIFTY 50,113259,23327.95,23332.65,23325.5,23328.35
NIFTY 50,113359,23326.15,23329.35,23324.2,23324.65
NIFTY 50,113459,23325.4,23327.4,23323.6,23326.45
NIFTY 50,113559,23326.85,23328.0,23318.85,23324.65
NIFTY 50,113659,23323.35,23333.55,23323.05,23332.6
NIFTY 50,113759,23333.65,23335.75,23330.35,23333.5
NIFTY 50,113859,23333.5,23334.25,23322.15,23322.95
NIFTY 50,113959,23322.6,23323.6,23320.1,23321.45
NIFTY 50,114059,23321.3,23321.7,23316.0,23320.9
NIFTY 50,114159,23320.6,23322.65,23317.3,23318.05
NIFTY 50,114259,23316.8,23325.8,23316.8,23325.8
NIFTY 50,114359,23325.25,23331.4,23323.5,23331.1
NIFTY 50,114459,23331.25,23334.2,23329.6,23333.95
NIFTY 50,114559,23333.3,23336.0,23331.1,23335.3
NIFTY 50,114659,23334.35,23338.0,23333.6,23338.0
NIFTY 50,114759,23337.6,23338.3,23334.3,23336.1
NIFTY 50,114859,23336.85,23338.6,23332.85,23334.85
NIFTY 50,114959,23335.0,23340.05,23331.9,23339.15
NIFTY 50,115059,23339.05,23339.65,23331.8,23334.55
NIFTY 50,115159,23335.0,23338.35,23332.6,23333.95
NIFTY 50,115259,23335.0,23336.2,23329.95,23335.15
NIFTY 50,115359,23335.0,23335.7,23329.1,23331.1
NIFTY 50,115459,23330.7,23334.55,23328.1,23332.35
NIFTY 50,115559,23332.3,23339.25,23332.1,23339.15
NIFTY 50,115659,23337.9,23340.85,23335.65,23337.8
NIFTY 50,115759,23337.5,23339.7,23336.1,23339.7
NIFTY 50,115859,23339.6,23341.35,23334.65,23336.75
NIFTY 50,115959,23335.25,23336.0,23325.4,23327.7
NIFTY 50,120059,23326.95,23331.3,23325.0,23330.1
NIFTY 50,120159,23330.2,23334.3,23328.05,23332.85
NIFTY 50,120259,23332.5,23338.0,23330.2,23338.0
NIFTY 50,120359,23337.7,23342.65,23335.8,23342.65
NIFTY 50,120459,23341.65,23344.45,23337.55,23343.4
NIFTY 50,120559,23343.45,23343.45,23338.3,23343.0
NIFTY 50,120659,23340.95,23344.45,23337.55,23337.65
NIFTY 50,120759,23337.45,23337.45,23332.15,23335.0
NIFTY 50,120859,23335.7,23342.6,23334.25,23341.55
