symbol,time,open,high,low,close
NIFTY 50,91559,24782.45,24799.8,24752.15,24755.05
NIFTY 50,91659,24755.2,24755.2,24735.2,24741.15
NIFTY 50,91759,24743.45,24747.75,24732.7,24737.4
NIFTY 50,91859,24737.05,24760.1,24736.3,24751.25
NIFTY 50,91959,24752.0,24789.7,24752.0,24789.35
NIFTY 50,92059,24787.8,24796.7,24775.95,24784.45
NIFTY 50,92159,24785.1,24789.25,24764.95,24768.7
NIFTY 50,92259,24767.35,24773.05,24761.35,24773.05
NIFTY 50,92359,24774.35,24786.4,24772.1,24781.45
NIFTY 50,92459,24781.3,24787.65,24774.8,24782.7
NIFTY 50,92559,24783.45,24790.35,24774.95,24785.35
NIFTY 50,92659,24785.55,24788.6,24776.15,24786.9
NIFTY 50,92759,24786.1,24790.55,24784.65,24786.2
NIFTY 50,92859,24786.5,24789.9,24776.95,24777.3
NIFTY 50,92959,24777.5,24789.1,24773.05,24785.3
NIFTY 50,93059,24784.05,24802.95,24784.05,24802.95
NIFTY 50,93159,24803.7,24819.25,24803.7,24819.25
NIFTY 50,93259,24818.15,24828.1,24818.15,24822.75
NIFTY 50,93359,24823.4,24829.4,24819.95,24826.0
NIFTY 50,93459,24824.15,24854.7,24824.15,24844.65
NIFTY 50,93559,24843.3,24851.5,24833.95,24838.1
NIFTY 50,93659,24839.3,24841.65,24832.4,24840.25
NIFTY 50,93759,24840.85,24841.55,24824.45,24832.9
NIFTY 50,93859,24833.75,24838.6,24827.45,24828.55
NIFTY 50,93959,24826.75,24829.4,24822.35,24826.0
NIFTY 50,94059,24825.7,24827.1,24820.05,24822.15
NIFTY 50,94159,24821.65,24821.65,24796.65,24802.0
NIFTY 50,94259,24802.2,24810.25,24801.45,24806.15
NIFTY 50,94359,24805.05,24805.95,24787.7,24789.2
NIFTY 50,94459,24789.95,24791.9,24785.05,24785.05
NIFTY 50,94559,24783.2,24798.5,24781.15,24793.75
NIFTY 50,94659,24794.1,24807.9,24789.5,24790.6
NIFTY 50,94759,24790.85,24803.8,24788.6,24803.8
NIFTY 50,94859,24802.55,24806.1,24800.45,24801.9
NIFTY 50,94959,24802.4,24815.65,24794.5,24812.75
NIFTY 50,95059,24813.75,24814.9,24805.65,24813.0
NIFTY 50,95159,24814.05,24827.0,24812.5,24821.6
NIFTY 50,95259,24821.45,24821.45,24810.3,24812.0
NIFTY 50,95359,24813.05,24822.65,24811.4,24814.65
NIFTY 50,95459,24813.65,24813.65,24806.6,24812.1
NIFTY 50,95559,24812.3,24824.7,24807.25,24807.4
NIFTY 50,95659,24807.15,24807.25,24798.25,24804.4
NIFTY 50,95759,24804.1,24805.1,24799.5,24802.25
NIFTY 50,95859,24800.5,24804.25,24798.4,24801.1
NIFTY 50,95959,24801.1,24803.8,24794.8,24802.85
NIFTY 50,100059,24802.25,24809.55,24802.25,24804.0
NIFTY 50,100159,24803.9,24811.8,24802.6,24810.5
NIFTY 50,100259,24810.1,24818.8,24809.05,24817.1
