symbol,time,open,high,low,close
NIFTY 50,91559,25150.35,25167.6,25140.75,25146.6
NIFTY 50,91659,25146.9,25146.9,25125.05,25133.05
NIFTY 50,91759,25133.3,25159.7,25131.1,25157.9
NIFTY 50,91859,25156.45,25164.8,25152.8,25153.25
NIFTY 50,91959,25152.9,25166.2,25150.75,25161.85
NIFTY 50,92059,25161.9,25169.5,25159.25,25168.2
NIFTY 50,92159,25166.95,25184.95,25166.95,25182.7
NIFTY 50,92259,25182.2,25182.6,25170.2,25170.45
NIFTY 50,92359,25172.05,25172.05,25160.2,25160.4
NIFTY 50,92459,25160.9,25161.95,25148.95,25154.5
NIFTY 50,92559,25155.2,25177.75,25154.65,25175.4
NIFTY 50,92659,25174.65,25175.65,25171.0,25171.8
NIFTY 50,92759,25172.2,25176.65,25171.25,25171.95
NIFTY 50,92859,25170.4,25170.4,25158.6,25158.6
NIFTY 50,92959,25158.6,25160.85,25155.25,25159.9
NIFTY 50,93059,25159.45,25170.85,25159.45,25167.85
NIFTY 50,93159,25167.1,25173.15,25164.0,25171.5
NIFTY 50,93259,25171.45,25183.35,25171.45,25179.05
NIFTY 50,93359,25178.25,25178.9,25168.95,25172.25
NIFTY 50,93459,25171.8,25180.15,25166.55,25179.4
NIFTY 50,93559,25178.25,25178.45,25170.7,25173.9
NIFTY 50,93659,25173.05,25181.3,25173.05,25177.9
NIFTY 50,93759,25178.2,25184.6,25176.3,25184.05
NIFTY 50,93859,25183.9,25186.9,25174.3,25174.8
NIFTY 50,93959,25174.7,25176.15,25168.4,25168.4
NIFTY 50,94059,25168.35,25181.7,25167.05,25181.0
NIFTY 50,94159,25181.05,25190.3,25179.95,25189.4
NIFTY 50,94259,25189.75,25192.65,25185.85,25187.4
NIFTY 50,94359,25187.15,25188.6,25183.7,25187.15
NIFTY 50,94459,25186.95,25188.4,25183.55,25188.25
NIFTY 50,94559,25188.3,25197.55,25188.0,25193.55
NIFTY 50,94659,25193.85,25198.15,25193.25,25194.1
NIFTY 50,94759,25194.7,25195.8,25189.7,25194.85
NIFTY 50,94859,25193.85,25196.9,25192.25,25196.0
NIFTY 50,94959,25196.55,25200.45,25178.75,25180.9
NIFTY 50,95059,25181.7,25183.9,25179.45,25183.9
NIFTY 50,95159,25183.9,25196.15,25183.8,25195.2
NIFTY 50,95259,25195.95,25196.25,25190.3,25193.75
NIFTY 50,95359,25194.8,25194.8,25190.15,25191.85
NIFTY 50,95459,25192.1,25192.1,25184.35,25187.35
NIFTY 50,95559,25187.8,25196.3,25186.8,25194.75
NIFTY 50,95659,25194.5,25196.5,25190.65,25191.15
NIFTY 50,95759,25190.7,25193.95,25188.5,25191.55
NIFTY 50,95859,25191.8,25201.95,25191.1,25200.95
NIFTY 50,95959,25201.1,25204.7,25195.65,25203.75
NIFTY 50,100059,25203.9,25207.15,25200.5,25204.85
NIFTY 50,100159,25205.15,25206.2,25201.7,25205.7
NIFTY 50,100259,25205.8,25208.6,25204.5,25206.2
NIFTY 50,100359,25206.7,25206.7,25193.8,25195.1
NIFTY 50,100459,25196.6,25198.5,25193.75,25198.3
NIFTY 50,100559,25198.05,25202.0,25196.95,25200.8
NIFTY 50,100659,25200.4,25202.6,25196.0,25197.8
NIFTY 50,100759,25198.2,25200.9,25195.45,25196.05
NIFTY 50,100859,25195.9,25196.4,25188.15,25191.4
NIFTY 50,100959,25191.0,25193.75,25189.95,25193.05
NIFTY 50,101059,25192.7,25194.35,25183.45,25185.4
NIFTY 50,101159,25185.8,25185.8,25179.55,25179.55
NIFTY 50,101259,25180.1,25186.15,25178.05,25184.8
NIFTY 50,101359,25185.3,25185.3,25177.55,25180.5
NIFTY 50,101459,25179.5,25179.9,25173.05,25173.9
NIFTY 50,101559,25174.9,25177.45,25172.65,25175.7
NIFTY 50,101659,25176.9,25182.65,25173.2,25181.9
NIFTY 50,101759,25182.5,25190.1,25182.5,25190.1
NIFTY 50,101859,25189.3,25193.55,25189.1,25192.1
NIFTY 50,101959,25192.05,25193.35,25189.55,25191.0
NIFTY 50,102059,25191.55,25200.75,25188.5,25199.7
NIFTY 50,102159,25199.65,25200.5,25196.05,25199.55
NIFTY 50,102259,25199.7,25201.3,25196.5,25200.75
NIFTY 50,102359,25201.05,25206.2,25201.05,25206.2
NIFTY 50,102459,25205.35,25207.2,25202.85,25205.45
NIFTY 50,102559,25204.55,25207.25,25203.3,25205.8
NIFTY 50,102659,25206.3,25206.3,25202.35,25205.25
NIFTY 50,102759,25204.7,25209.45,25203.6,25208.75
NIFTY 50,102859,25208.4,25208.75,25202.9,25203.45
NIFTY 50,102959,25203.65,25208.6,25202.2,25207.7
NIFTY 50,103059,25207.2,25208.2,25202.3,25205.3
NIFTY 50,103159,25205.95,25208.8,25202.7,25208.15
NIFTY 50,103259,25208.0,25208.8,25205.0,25207.85
NIFTY 50,103359,25208.15,25212.3,25206.7,25210.85
NIFTY 50,103459,25211.3,25211.3,25205.1,25206.15
NIFTY 50,103559,25207.6,25212.9,25205.2,25212.3
NIFTY 50,103659,25212.1,25213.6,25208.75,25212.45
NIFTY 50,103759,25212.6,25215.4,25211.15,25212.6
NIFTY 50,103859,25212.3,25216.1,25211.3,25214.6
NIFTY 50,103959,25215.1,25217.4,25212.6,25214.05
NIFTY 50,104059,25214.2,25214.9,25211.2,25213.25
NIFTY 50,104159,25213.8,25214.65,25211.85,25213.15
NIFTY 50,104259,25213.0,25214.35,25209.9,25211.3
NIFTY 50,104359,25211.35,25211.35,25205.35,25206.65
NIFTY 50,104459,25206.7,25206.7,25200.05,25201.4
