symbol,time,open,high,low,close
NIFTY 50,91559,22433.4,22450.35,22343.4,22348.45
NIFTY 50,91659,22348.4,22348.6,22320.35,22328.95
NIFTY 50,91759,22327.75,22343.85,22327.75,22332.25
NIFTY 50,91859,22332.05,22333.55,22316.2,22320.3
NIFTY 50,91959,22320.6,22323.65,22313.95,22322.05
NIFTY 50,92059,22320.05,22324.35,22316.2,22319.6
NIFTY 50,92159,22317.45,22341.7,22316.75,22341.6
NIFTY 50,92259,22341.6,22356.6,22332.6,22332.8
NIFTY 50,92359,22334.25,22339.95,22327.1,22333.85
NIFTY 50,92459,22331.55,22333.7,22313.9,22319.75
NIFTY 50,92559,22320.15,22335.1,22319.35,22327.55
NIFTY 50,92659,22325.75,22327.1,22308.2,22315.25
NIFTY 50,92759,22316.55,22326.95,22313.35,22326.95
NIFTY 50,92859,22326.8,22336.35,22323.0,22328.45
NIFTY 50,92959,22328.6,22340.0,22323.2,22336.1
NIFTY 50,93059,22337.7,22339.8,22320.3,22320.5
NIFTY 50,93159,22319.95,22320.3,22308.15,22309.5
NIFTY 50,93259,22308.5,22314.85,22297.65,22301.85
NIFTY 50,93359,22299.2,22301.9,22286.6,22294.2
NIFTY 50,93459,22294.25,22294.25,22276.8,22279.65
NIFTY 50,93559,22279.35,22283.7,22271.2,22276.0
NIFTY 50,93659,22276.25,22279.15,22262.6,22270.0
NIFTY 50,93759,22268.55,22269.3,22249.1,22261.35
NIFTY 50,93859,22261.1,22285.8,22261.1,22273.0
NIFTY 50,93959,22272.85,22280.6,22266.0,22266.5
NIFTY 50,94059,22266.95,22287.65,22263.7,22276.55
NIFTY 50,94159,22274.2,22280.5,22268.25,22272.5
NIFTY 50,94259,22272.2,22273.8,22252.4,22258.2
NIFTY 50,94359,22258.85,22266.35,22253.05,22254.35
NIFTY 50,94459,22253.6,22267.35,22253.6,22261.7
NIFTY 50,94559,22261.15,22274.9,22259.0,22273.45
NIFTY 50,94659,22271.75,22272.8,22266.25,22267.2
NIFTY 50,94759,22268.65,22281.25,22267.85,22275.45
NIFTY 50,94859,22277.25,22280.65,22269.25,22269.25
NIFTY 50,94959,22270.0,22273.5,22255.4,22259.65
NIFTY 50,95059,22258.85,22278.1,22258.85,22270.4
NIFTY 50,95159,22269.7,22280.9,22266.6,22278.7
NIFTY 50,95259,22278.0,22282.3,22276.0,22278.45
NIFTY 50,95359,22280.15,22280.15,22271.55,22274.5
NIFTY 50,95459,22274.9,22276.6,22270.7,22272.6
NIFTY 50,95559,22272.8,22276.05,22265.55,22266.4
NIFTY 50,95659,22266.6,22266.6,22240.8,22241.8
NIFTY 50,95759,22243.5,22245.3,22235.5,22238.7
NIFTY 50,95859,22237.05,22245.45,22234.85,22244.55
NIFTY 50,95959,22244.3,22247.25,22233.6,22235.35
NIFTY 50,100059,22235.4,22247.45,22233.35,22233.75
NIFTY 50,100159,22233.35,22234.85,22224.1,22234.85
NIFTY 50,100259,22234.55,22237.5,22227.45,22232.45
NIFTY 50,100359,22231.3,22232.85,22226.7,22226.7
NIFTY 50,100459,22226.9,22238.2,22225.95,22238.0
NIFTY 50,100559,22237.3,22246.05,22236.4,22240.45
NIFTY 50,100659,22240.9,22241.15,22234.05,22240.45
NIFTY 50,100759,22241.25,22244.95,22237.85,22239.7
NIFTY 50,100859,22240.45,22242.0,22237.3,22238.45
NIFTY 50,100959,22238.6,22247.85,22235.85,22245.6
NIFTY 50,101059,22245.55,22250.65,22243.05,22243.05
NIFTY 50,101159,22245.8,22251.55,22242.2,22246.1
NIFTY 50,101259,22248.2,22259.6,22246.05,22253.85
NIFTY 50,101359,22252.85,22259.0,22249.0,22253.25
NIFTY 50,101459,22252.6,22262.9,22251.95,22262.15
NIFTY 50,101559,22261.8,22275.95,22261.8,22275.95
NIFTY 50,101659,22275.7,22277.0,22264.6,22265.5
NIFTY 50,101759,22265.75,22268.7,22258.55,22268.35
NIFTY 50,101859,22269.35,22278.05,22269.2,22276.85
NIFTY 50,101959,22278.5,22287.75,22275.85,22286.55
NIFTY 50,102059,22287.9,22291.15,22278.8,22278.85
NIFTY 50,102159,22279.25,22287.3,22273.6,22287.05
NIFTY 50,102259,22286.7,22289.1,22272.9,22273.5
NIFTY 50,102359,22273.2,22283.95,22273.2,22282.9
NIFTY 50,102459,22282.55,22293.5,22280.9,22291.05
NIFTY 50,102559,22290.55,22290.65,22280.4,22283.65
NIFTY 50,102659,22282.9,22283.75,22277.55,22279.05
NIFTY 50,102759,22279.5,22281.3,22276.35,22277.5
NIFTY 50,102859,22276.1,22276.45,22265.6,22276.45
NIFTY 50,102959,22276.45,22278.05,22271.4,22272.1
