symbol,time,open,high,low,close
NIFTY 50,91559,23528.6,23595.45,23524.55,23536.05
NIFTY 50,91659,23535.4,23535.85,23514.8,23522.2
NIFTY 50,91759,23522.4,23526.65,23503.05,23503.8
NIFTY 50,91859,23504.25,23508.95,23498.95,23505.55
NIFTY 50,91959,23503.75,23503.75,23492.4,23498.4
NIFTY 50,92059,23498.5,23499.8,23480.0,23487.1
NIFTY 50,92159,23484.9,23498.25,23479.05,23488.6
NIFTY 50,92259,23487.6,23496.5,23481.1,23496.5
NIFTY 50,92359,23496.5,23502.4,23490.75,23493.7
NIFTY 50,92459,23491.95,23497.3,23489.55,23494.4
NIFTY 50,92559,23494.15,23499.05,23490.95,23493.45
NIFTY 50,92659,23492.4,23502.3,23490.6,23500.95
NIFTY 50,92759,23501.55,23502.3,23494.05,23498.75
NIFTY 50,92859,23497.8,23505.85,23494.05,23503.3
NIFTY 50,92959,23502.8,23507.75,23499.25,23506.7
NIFTY 50,93059,23510.05,23532.7,23506.2,23532.7
NIFTY 50,93159,23533.35,23589.5,23533.3,23583.95
NIFTY 50,93259,23584.3,23584.3,23551.65,23557.35
NIFTY 50,93359,23557.5,23564.25,23555.35,23558.95
NIFTY 50,93459,23559.9,23573.05,23559.9,23562.65
NIFTY 50,93559,23562.8,23566.4,23552.45,23553.8
NIFTY 50,93659,23553.3,23555.05,23538.5,23547.9
NIFTY 50,93759,23548.55,23560.05,23548.55,23558.45
NIFTY 50,93859,23558.4,23561.15,23548.5,23551.0
NIFTY 50,93959,23551.25,23551.7,23545.15,23549.8
NIFTY 50,94059,23550.15,23550.15,23542.95,23543.55
NIFTY 50,94159,23543.8,23565.6,23543.05,23565.5
NIFTY 50,94259,23565.9,23566.35,23559.1,23561.75
NIFTY 50,94359,23560.95,23567.65,23559.1,23567.65
NIFTY 50,94459,23566.4,23567.45,23557.8,23558.85
NIFTY 50,94559,23558.8,23561.15,23554.1,23560.4
NIFTY 50,94659,23559.55,23575.0,23559.55,23573.2
NIFTY 50,94759,23571.75,23578.45,23571.75,23574.1
NIFTY 50,94859,23574.55,23578.55,23571.65,23575.75
NIFTY 50,94959,23575.6,23578.4,23571.45,23573.85
NIFTY 50,95059,23573.2,23574.7,23568.25,23574.3
NIFTY 50,95159,23574.35,23576.2,23569.15,23569.75
NIFTY 50,95259,23569.15,23580.35,23567.8,23580.35
NIFTY 50,95359,23580.3,23585.5,23576.7,23578.3
NIFTY 50,95459,23579.25,23583.7,23575.3,23578.25
NIFTY 50,95559,23577.0,23584.75,23576.45,23582.25
NIFTY 50,95659,23584.15,23584.15,23532.55,23559.45
NIFTY 50,95759,23560.75,23568.95,23553.1,23562.8
NIFTY 50,95859,23563.05,23563.05,23550.8,23556.2
NIFTY 50,95959,23556.65,23560.9,23555.1,23560.65
NIFTY 50,100059,23558.05,23561.25,23555.9,23559.2
NIFTY 50,100159,23559.6,23560.6,23550.5,23552.8
NIFTY 50,100259,23552.65,23562.0,23552.6,23559.25
NIFTY 50,100359,23559.6,23565.85,23559.6,23563.45
NIFTY 50,100459,23564.15,23565.45,23556.75,23559.55
NIFTY 50,100559,23560.65,23588.05,23550.65,23554.85
NIFTY 50,100659,23555.0,23569.55,23552.9,23568.35
NIFTY 50,100759,23568.15,23569.45,23556.4,23561.7
NIFTY 50,100859,23562.7,23562.8,23557.25,23559.55
NIFTY 50,100959,23559.6,23561.8,23555.4,23558.15
NIFTY 50,101059,23556.8,23563.55,23556.8,23558.2
NIFTY 50,101159,23557.55,23562.05,23554.75,23559.65
NIFTY 50,101259,23560.45,23562.65,23553.55,23556.85
NIFTY 50,101359,23558.0,23559.8,23552.45,23553.35
NIFTY 50,101459,23553.45,23555.9,23549.1,23555.9
NIFTY 50,101559,23555.7,23562.55,23555.7,23562.3
NIFTY 50,101659,23564.35,23569.8,23562.85,23567.5
NIFTY 50,101759,23567.5,23567.5,23558.35,23559.75
NIFTY 50,101859,23559.6,23571.5,23559.6,23565.45
NIFTY 50,101959,23565.6,23578.45,23565.05,23572.15
NIFTY 50,102059,23572.3,23573.9,23560.05,23560.2
NIFTY 50,102159,23562.75,23563.65,23557.7,23560.05
NIFTY 50,102259,23560.3,23562.65,23558.6,23562.35
NIFTY 50,102359,23561.4,23569.5,23555.7,23567.4
NIFTY 50,102459,23567.45,23571.85,23566.0,23570.9
NIFTY 50,102559,23570.8,23570.8,23565.1,23566.1
NIFTY 50,102659,23565.85,23567.0,23562.35,23564.75
NIFTY 50,102759,23564.4,23567.1,23561.8,23564.85
NIFTY 50,102859,23565.7,23574.2,23564.9,23571.8
NIFTY 50,102959,23571.65,23572.8,23566.85,23568.3
NIFTY 50,103059,23568.1,23570.85,23562.7,23563.95
NIFTY 50,103159,23564.2,23565.75,23560.2,23563.35
NIFTY 50,103259,23563.1,23564.25,23560.05,23560.9
NIFTY 50,103359,23561.85,23567.85,23561.65,23564.85
